Arsenal
Willian;4;12;65;60;80;90;80;35;5;5;5;5;5;25;40;55;45;45;70;80;70;70;75;75;75;70;75;65;85;75;55;75;95;80;75;45;
Bukayo Saka;4;7;55;45;70;75;70;45;10;15;5;20;10;45;50;45;40;45;70;75;65;60;70;65;55;60;85;75;70;75;50;65;75;45;50;60;
Héctor Bellerín;2;2;65;65;70;75;65;60;5;10;15;20;15;60;65;50;50;75;60;85;75;55;70;50;50;65;90;75;65;60;45;60;75;25;40;35;
Cédric;2;17;65;65;70;70;65;70;15;10;15;5;10;60;70;45;40;70;60;75;75;60;60;55;45;65;75;70;60;60;35;65;70;45;60;45;
Kieran Tierney;2;3;55;65;75;80;65;60;10;5;10;5;15;60;75;55;60;80;75;75;70;60;65;50;50;65;80;75;60;60;55;65;75;50;40;65;
Sead Kolasinac;2;31;50;60;85;75;55;60;10;10;10;10;10;70;75;85;65;90;50;85;75;55;65;45;40;60;70;65;60;45;35;60;85;30;40;30;

Chelsea
Kai Havertz;3;29;85;50;50;75;85;50;10;5;15;15;5;35;50;60;50;55;60;85;75;70;80;85;55;70;60;65;70;75;65;85;60;55;60;55;
Mason Mount;3;19;75;60;80;85;75;65;15;5;10;5;5;35;55;45;45;60;60;70;90;70;70;60;60;60;70;65;55;65;70;70;100;70;75;70;
N' GoloKanté;3;7;70;75;75;100;70;75;10;15;10;5;10;60;100;65;50;75;60;75;100;65;75;70;50;80;80;70;55;65;50;60;100;40;35;30;
Thiago Silva;1;6;75;85;75;75;65;85;10;10;5;5;15;85;80;75;85;75;25;55;70;65;40;60;35;85;55;60;50;40;35;70;70;40;70;20;
Andreas Christensen;1;4;80;65;55;75;65;80;5;15;5;10;20;70;70;50;75;50;50;75;65;70;50;50;40;85;60;60;55;45;45;65;60;25;45;25;
Fikayo Tomori;1;14;75;65;70;70;55;65;15;5;5;10;5;60;70;75;60;75;35;80;70;65;30;55;25;65;95;60;45;45;50;55;75;45;25;10;
Kurt Zouma;1;15;55;60;80;65;50;70;15;15;15;15;20;65;75;90;85;70;50;75;70;45;40;40;35;65;90;55;45;35;40;55;75;30;35;20;
Mateo Kovacic;3;17;85;55;85;75;85;60;10;5;5;5;5;60;70;70;50;70;60;70;75;80;65;80;50;75;70;75;85;80;60;85;75;60;60;65;
Jorginho;3;5;85;75;75;85;80;60;10;15;15;5;10;50;70;45;35;70;60;60;80;90;60;75;45;75;55;70;60;65;40;75;80;45;95;55;
Reece James;2;24;70;70;80;60;65;60;10;5;10;10;10;60;65;75;55;60;80;70;75;65;60;50;55;60;75;60;55;60;35;65;65;70;35;65;
César Azpilicueta;2;28;70;75;80;85;65;70;10;15;5;10;15;60;80;45;45;80;75;70;85;55;60;50;45;75;60;65;40;40;30;55;90;35;40;40;
Charly Musonda;4;32;60;50;70;60;75;30;15;5;5;15;10;35;30;30;40;55;45;70;45;60;45;70;60;55;70;85;65;70;35;65;70;65;40;55;
Callum Hudson-Odoi;4;20;60;50;50;45;75;45;10;5;5;10;10;25;25;45;35;30;65;75;60;55;75;70;40;50;80;75;75;75;50;75;55;60;35;50;
Hakim Ziyech;4;22;65;50;70;70;80;30;10;10;5;10;10;30;30;50;50;65;70;65;75;80;85;85;70;85;75;85;75;85;50;80;75;80;65;70;
Christian Pulisic;4;10;60;50;60;75;75;40;5;15;10;15;10;30;40;45;40;45;55;75;70;60;75;70;50;75;85;95;90;75;70;75;85;50;50;60;
Antonio Rüdiger;1;2;65;60;85;65;55;65;15;5;5;5;10;70;80;90;70;85;50;80;80;60;40;50;40;75;75;45;50;45;35;50;75;45;35;25;
Tammy Abraham;5;9;70;60;75;70;70;50;15;5;15;15;5;20;30;65;70;65;50;75;65;60;70;50;55;70;80;65;65;70;80;65;85;40;70;30;
Timo Werner;5;11;65;60;60;50;55;35;15;10;15;10;10;30;40;60;65;55;45;90;80;55;80;60;50;65;90;70;65;55;80;60;80;40;85;35;
Willy Caballero;0;13;65;65;75;60;45;70;75;60;60;80;60;5;15;60;5;60;10;60;50;60;35;60;15;65;45;75;5;60;10;60;65;40;15;25;
Kepa Arrizabalaga;0;1;70;75;65;65;55;60;65;65;75;80;75;15;15;55;5;60;15;60;60;55;25;55;5;70;45;75;10;10;10;55;60;40;10;25;
Edouard Mendy;0;16;65;75;60;65;40;75;80;60;65;80;70;15;5;75;40;50;5;55;70;50;10;40;15;70;55;70;10;40;10;40;50;35;25;15;
Olivier Giroud;5;18;70;70;80;95;70;45;5;5;5;5;15;40;35;90;95;85;40;60;60;60;85;65;70;80;50;50;60;65;75;75;90;60;70;20;
Emerson;2;33;60;60;70;65;70;60;15;15;10;15;5;60;70;65;45;60;70;75;70;60;75;60;70;65;80;75;70;70;35;75;70;50;20;60;
Ben Chilwell;2;21;70;65;70;70;60;75;10;10;5;5;15;70;65;60;70;65;65;80;75;60;55;60;35;70;75;70;75;55;35;65;80;55;55;65;
Marcos Alonso;2;3;70;60;65;70;70;65;10;5;20;15;5;65;70;75;80;60;65;60;80;70;75;65;70;70;60;50;60;60;70;70;75;75;60;70;

Everton
James Rodríguez;3;19;90;65;65;70;90;45;5;10;5;15;15;30;35;50;60;60;85;50;60;75;70;95;85;80;55;70;70;90;80;90;60;80;70;85;
Allan;3;6;60;70;85;80;70;80;5;10;10;10;5;70;90;80;50;80;45;70;75;75;70;60;60;70;65;70;65;65;50;65;85;30;50;15;
Tom Davies;3;26;60;70;70;60;70;55;15;5;15;5;5;50;65;60;50;75;50;60;80;60;65;60;50;60;70;75;60;70;55;65;85;50;40;45;
Abdoulaye Doucouré;3;16;70;70;70;80;75;60;5;5;5;15;10;60;60;75;60;65;55;65;80;70;70;65;65;65;70;65;60;60;65;70;75;35;40;25;
Mason Holgate;1;4;70;60;65;65;70;70;15;15;5;10;10;65;70;70;70;65;45;75;75;70;45;55;25;65;70;75;45;45;30;55;65;30;40;25;
Ben Godfrey;1;22;80;70;70;70;70;70;15;15;15;15;5;70;75;65;65;70;40;80;75;65;55;65;60;60;80;65;40;35;45;65;75;25;35;25;
Yerry Mina;1;13;70;60;75;65;55;70;10;15;15;10;15;70;70;80;80;65;40;65;60;65;50;45;40;55;65;65;50;45;35;55;70;30;45;30;
Fabian Delph;3;8;60;65;60;85;60;70;15;15;10;20;15;40;70;75;40;85;55;65;70;70;65;65;65;65;65;75;60;60;60;60;80;50;40;50;
Jean- PhilippeGbamin;3;25;65;65;80;70;55;60;5;15;20;10;5;65;85;80;60;85;50;75;85;65;45;50;55;55;65;60;60;35;40;55;80;30;35;30;
Mo Besic;3;30;60;60;90;65;75;60;15;15;10;15;15;75;80;60;55;80;30;75;80;65;50;55;55;65;70;65;50;60;40;60;80;40;50;30;
Michael Keane;1;5;55;65;85;75;60;75;15;5;15;15;10;70;80;70;80;65;40;65;65;60;50;45;25;70;55;45;40;25;45;60;65;25;25;25;
André Gomes;3;21;80;55;60;70;85;55;5;15;20;5;5;40;60;70;50;45;60;65;60;75;70;65;65;65;45;50;65;65;55;80;70;65;70;55;
Jonjoe Kenny;2;2;50;60;75;65;55;70;10;15;5;20;5;65;75;60;50;75;75;75;80;60;70;50;55;60;65;60;50;30;30;55;75;30;55;40;
Seamus Coleman;2;23;65;65;90;75;60;65;10;10;10;10;5;60;70;65;70;75;60;70;75;65;65;45;65;65;60;55;55;55;60;60;70;40;35;25;
Lucas Digne;2;12;80;70;80;70;75;65;10;10;5;15;10;50;70;65;65;75;75;70;80;65;70;60;70;65;75;75;65;50;40;70;85;80;30;65;
Robin Olsen;0;33;70;70;70;60;50;70;65;65;65;80;65;15;10;70;15;70;5;50;50;60;5;40;15;60;55;60;5;10;15;55;50;5;20;5;
Bernard;4;20;60;55;70;65;85;30;5;15;15;5;10;15;30;35;45;40;75;70;65;65;75;70;55;60;80;80;85;90;50;80;55;50;50;55;
Richarlison;4;7;60;60;70;55;75;35;10;5;15;15;10;30;60;65;70;65;50;80;80;60;70;50;55;60;75;70;75;70;70;60;80;45;60;50;
Gylfi Sigurðsson;4;10;70;65;80;70;75;60;10;15;5;5;15;35;40;60;25;60;75;55;80;75;55;55;80;55;50;60;70;65;75;70;75;70;90;70;
Alex Iwobi;4;17;60;60;75;70;70;25;5;20;5;5;10;35;35;65;55;60;65;70;75;65;70;70;60;65;75;70;70;70;60;70;75;45;55;45;
Yannick Bolasie;4;29;45;55;80;35;70;35;20;10;15;10;5;25;30;70;55;65;60;65;60;55;70;55;60;50;70;60;80;85;50;60;55;35;50;45;
Cenk Tosun;5;14;75;75;85;65;60;40;5;5;15;5;15;40;20;70;75;70;45;50;60;55;55;50;65;75;45;45;55;60;85;55;70;50;80;35;
Dominic Calvert-Lewin;5;9;65;75;70;65;70;30;5;15;5;5;10;30;25;75;85;70;55;75;75;55;80;50;45;70;80;70;55;60;75;75;75;35;35;45;
Jonas Lössl;0;49;55;60;60;70;45;65;70;60;65;70;75;10;10;75;35;70;10;50;50;55;5;55;15;60;55;70;10;10;10;45;50;30;20;10;
Jordan Pickford;0;1;50;70;70;50;70;70;75;60;70;80;75;5;5;65;40;75;5;40;65;50;10;70;5;70;40;80;5;5;15;55;55;45;20;30;

Leicester City
Kelechi Iheanacho;5;14;75;60;60;70;70;30;15;15;15;15;15;25;35;70;60;55;35;65;75;70;75;60;65;70;75;75;65;60;80;70;70;55;70;30;
Dennis Praet;3;26;70;90;65;70;75;55;15;5;15;5;15;40;60;60;40;65;70;60;75;75;65;70;60;60;60;65;65;80;55;75;70;60;50;70;
Ayoze Pérez;3;17;60;60;65;80;70;40;5;10;5;5;15;25;50;45;55;50;60;65;80;65;75;65;45;70;60;70;75;75;70;75;85;45;55;35;
Wilfred Ndidi;3;25;60;65;70;75;65;75;5;5;5;5;15;65;95;70;70;65;50;60;90;65;55;65;60;90;65;60;60;55;35;65;85;50;40;50;
Jonny Evans;1;6;80;70;75;70;70;80;10;10;5;15;15;80;80;75;75;70;25;55;75;60;30;55;15;80;60;55;50;15;30;60;70;20;25;20;
Wesley Fofana;1;3;60;60;60;60;60;70;10;5;5;15;10;65;70;70;75;65;30;75;70;60;60;60;50;60;65;65;55;50;15;60;65;25;30;35;
Çağlar Söyüncü;1;4;70;65;80;65;55;70;5;10;15;10;10;75;80;75;75;85;35;75;65;60;35;45;40;75;70;60;60;45;35;60;70;25;40;20;
Hamza Choudhury;3;20;60;60;70;75;60;55;5;10;20;15;5;70;80;60;40;70;45;60;85;65;40;60;45;75;70;65;55;55;30;60;85;35;40;30;
Wes Morgan;1;5;60;65;80;80;35;65;10;15;5;10;5;75;80;90;80;85;30;40;80;55;40;40;30;75;40;30;35;15;30;50;80;35;50;30;
Youri Tielemans;3;8;80;60;70;70;80;60;10;10;5;20;10;55;55;50;45;60;65;55;60;85;70;85;65;70;60;70;65;75;60;80;75;70;70;60;
Nampalys Mendy;3;24;75;65;65;80;65;70;10;15;10;10;5;65;70;60;40;70;55;65;85;70;40;60;35;75;75;70;60;40;40;70;80;35;55;40;
Marc Albrighton;4;11;60;80;70;85;65;70;10;5;20;10;5;40;60;45;25;70;85;60;85;70;65;70;50;60;60;60;65;60;60;70;90;60;50;75;
Christian Fuchs;2;28;70;75;65;80;60;65;15;10;10;5;10;70;65;70;70;55;80;50;65;65;65;65;70;60;50;50;55;55;40;60;75;60;60;65;
Ricardo Pereira;2;21;65;60;75;75;70;70;10;5;15;10;15;60;80;50;30;65;70;75;75;60;70;65;60;70;80;70;75;65;55;60;80;40;60;45;
Daniel Amartey;2;18;60;65;80;70;60;65;15;5;10;5;5;70;65;70;70;75;60;60;70;60;55;40;50;65;55;60;55;25;30;60;75;40;45;30;
Eldin Jakupović;0;35;35;50;70;65;35;65;65;75;70;85;80;15;5;50;45;40;5;50;55;60;5;45;5;60;45;75;5;15;15;45;55;40;15;20;
James Maddison;4;10;75;60;65;60;80;50;20;15;10;5;5;35;55;40;25;60;60;60;65;80;70;80;75;60;65;75;80;80;70;75;65;85;75;75;
Harvey Barnes;4;15;50;45;75;60;70;30;10;15;10;10;5;30;35;60;40;55;65;80;65;60;65;65;65;55;70;70;75;75;55;65;60;55;40;45;
Demarai Gray;4;7;55;50;65;50;65;40;15;10;5;15;10;35;25;45;30;35;60;80;65;60;60;55;50;45;75;70;75;75;50;65;60;60;55;60;
CengizÜnder;4;19;55;60;60;55;80;20;15;5;15;5;15;15;20;45;35;40;75;75;55;60;80;60;85;65;85;80;75;75;60;75;55;70;45;80;
Jamie Vardy;5;9;80;80;85;85;75;25;15;10;15;10;5;15;60;65;60;85;50;85;85;60;85;65;60;75;85;60;60;60;90;70;80;35;85;35;
Kasper Schmeichel;0;1;60;60;80;75;50;65;70;80;75;80;80;15;5;50;65;80;15;55;60;40;5;65;15;70;60;70;15;10;10;40;75;50;25;30;
Danny Ward;0;12;65;65;70;60;50;60;70;60;60;65;55;5;15;65;15;65;10;55;60;55;10;40;5;65;60;60;10;10;5;50;55;30;15;20;
Islam Slimani;5;13;70;60;80;70;65;40;15;15;15;5;15;25;35;75;80;75;50;65;65;70;70;65;40;80;55;60;60;50;70;65;80;45;65;30;
Timothy Castagne;2;27;60;70;75;75;70;65;5;10;15;10;5;55;60;55;45;55;65;75;70;65;70;55;40;60;75;70;65;55;50;65;75;30;25;40;
James Justin;2;2;60;60;75;70;60;65;5;15;5;15;5;65;60;60;60;55;55;75;80;60;50;55;40;60;75;65;65;35;25;55;75;45;30;45;

Liverpool
Thiago;3;6;80;50;55;50;85;70;10;5;15;10;20;50;70;45;60;40;70;50;75;85;65;95;65;80;70;85;85;90;50;90;75;60;65;75;
James Milner;3;7;70;80;95;90;70;65;15;20;5;10;10;65;65;75;50;85;70;60;85;70;65;70;40;70;55;55;65;60;55;75;90;45;85;70;
Jordan Henderson;3;14;80;80;95;90;70;75;15;5;15;5;15;75;70;70;55;80;65;70;90;75;75;70;55;80;65;65;60;65;45;80;90;55;50;60;
Virgilvan Dijk;1;4;80;85;90;70;70;85;15;5;15;5;15;80;85;85;90;75;25;80;70;80;40;70;35;90;75;60;65;60;40;75;60;65;35;15;
Joël Matip;1;32;75;75;70;70;65;85;5;15;5;10;5;75;75;70;75;70;35;70;75;70;55;50;25;75;70;70;60;50;35;65;65;20;25;20;
Trent Alexander-Arnold;2;66;75;65;80;75;85;65;15;15;5;10;15;65;65;60;50;70;90;70;70;85;70;80;60;75;70;70;65;70;50;75;75;70;60;70;
Roberto Firmino;5;9;85;80;70;90;90;70;15;20;15;15;10;65;70;75;60;65;70;65;80;75;80;85;55;80;65;75;75;85;65;85;90;40;65;50;
Georginio Wijnaldum;3;5;75;80;75;80;75;75;20;5;15;5;10;60;65;70;60;60;60;65;80;75;70;60;45;80;70;75;75;65;65;80;80;35;40;40;
Fabinho;2;3;75;75;75;75;70;80;10;5;10;15;20;75;80;75;70;75;55;70;75;75;60;70;60;85;70;70;65;60;35;75;75;40;70;15;
Sadio Mané;4;10;75;80;75;75;85;55;5;15;5;20;10;55;35;60;65;55;70;90;70;70;80;75;60;80;90;80;80;80;85;85;75;40;45;45;
Mohamed Salah;4;11;75;75;80;65;80;40;15;5;10;10;10;30;35;80;45;55;70;90;70;75;90;85;65;80;90;80;80;75;90;75;70;65;75;65;
Divock Origi;4;27;70;65;65;65;75;35;5;5;10;10;5;35;40;80;65;55;60;75;65;65;70;60;65;60;70;70;75;75;65;80;75;45;65;25;
Alex Oxlade-Chamberlain;4;15;70;70;80;70;80;60;5;10;15;20;10;55;50;75;50;65;70;75;70;75;75;70;70;65;75;75;75;80;65;75;70;55;60;60;
Takumi Minamino;4;18;60;70;70;70;75;40;15;15;5;5;10;30;30;40;30;60;55;75;60;70;70;70;55;60;75;80;80;80;65;70;65;50;50;50;
Diogo Jota;4;20;65;60;85;50;70;30;15;15;10;5;10;25;40;50;55;75;60;75;65;65;80;60;65;65;80;80;80;85;75;70;75;55;50;40;
Xherdan Shaqiri;4;23;75;60;70;60;75;35;15;5;10;15;15;25;25;65;20;55;80;70;70;75;80;80;70;60;70;85;75;85;65;85;60;70;60;70;
Naby Keïta;3;8;75;70;70;80;80;70;10;5;10;5;15;60;70;55;35;70;55;65;85;70;80;75;60;85;75;85;85;75;55;65;80;55;45;40;
Alisson;0;1;90;75;95;55;70;90;65;70;80;85;90;5;5;70;35;70;5;65;60;80;60;65;15;85;70;75;50;65;15;80;75;10;25;15;
Adrián;0;13;60;55;75;50;40;65;65;65;65;75;70;10;15;65;5;70;5;50;60;55;5;50;10;65;50;75;10;10;5;60;50;45;15;20;
Joe Gomez;2;12;75;70;70;70;70;75;10;15;15;15;15;75;75;75;75;70;45;80;75;70;50;40;15;75;80;75;70;45;25;75;70;25;25;20;
Kostas Tsimikas;2;21;65;60;85;65;70;60;10;5;10;15;10;65;65;50;40;75;70;75;70;65;70;60;50;65;75;70;70;65;30;65;75;45;50;60;
Andrew Robertson;2;26;70;80;75;80;70;75;5;5;15;5;5;75;75;60;50;75;85;80;85;70;75;70;30;75;80;70;60;55;30;75;85;35;35;70;

Manchester City
Sergio Agüero;5;10;80;75;75;60;90;35;10;15;15;15;15;20;25;65;60;70;50;75;80;75;90;70;70;80;85;90;90;75;85;85;65;60;65;30;
John Stones;1;5;70;65;65;70;70;65;15;10;20;10;5;70;80;65;65;80;40;70;75;75;80;70;25;70;65;75;60;60;40;65;85;25;60;25;
Eric García;1;50;80;75;85;70;65;75;5;10;15;15;10;65;65;60;65;65;30;65;70;70;70;65;25;70;65;70;60;60;35;65;75;30;30;20;
Rúben Dias;1;3;65;70;85;80;60;75;15;5;15;10;10;85;70;80;65;90;55;65;80;65;35;60;20;70;65;65;60;40;30;60;80;25;40;20;
Aymeric Laporte;1;14;80;85;70;65;75;80;15;5;10;10;10;80;80;70;80;75;55;70;70;80;70;80;55;80;70;65;65;60;40;70;70;50;55;40;
João Cancelo;2;27;60;50;50;60;85;40;20;5;10;15;15;45;65;60;50;60;70;80;70;70;70;70;60;70;80;80;80;85;55;75;65;60;55;60;
Rodri;3;16;75;75;65;80;70;85;10;5;10;5;5;60;75;65;65;65;40;65;75;70;60;70;65;80;70;70;65;45;35;75;75;40;40;40;
İlkay Gündogan;3;8;80;70;65;80;80;55;5;5;10;15;10;50;65;65;35;60;55;65;75;80;65;80;60;70;70;80;70;65;60;85;70;70;70;50;
Scott Carson;0;33;50;65;65;60;30;60;70;50;50;65;70;15;5;75;5;65;5;45;60;40;5;45;10;55;40;65;5;10;15;35;60;40;15;25;
Gabriel Jesus;4;9;70;70;65;70;80;35;15;15;10;15;5;30;40;60;65;65;45;75;65;70;85;65;55;70;80;85;80;80;70;75;80;50;65;35;
Raheem Sterling;4;7;65;70;65;80;75;45;20;5;10;5;10;35;40;60;55;55;60;85;80;65;100;65;60;90;90;95;80;80;70;75;80;45;50;40;
Phil Foden;4;47;65;70;70;70;85;40;5;10;15;15;5;40;40;40;40;65;65;70;70;80;75;80;60;65;75;85;75;80;70;85;70;65;60;55;
Bernardo Silva;4;20;80;70;80;80;90;45;10;10;20;15;5;40;35;35;45;75;80;70;80;80;85;85;65;70;75;95;85;85;80;85;100;65;65;70;
Olexandr Zinchenko;4;11;65;70;80;80;70;40;10;15;5;10;5;45;50;45;60;80;65;70;70;65;65;65;60;65;65;65;65;65;50;70;75;65;45;65;
Riyad Mahrez;4;26;75;65;65;55;85;25;20;15;15;15;15;25;40;40;30;25;80;70;70;80;75;85;70;70;75;85;85;85;80;85;60;70;55;70;
Ferran Torres;4;21;65;40;70;60;70;45;15;15;15;15;15;30;35;55;55;45;65;75;65;65;70;60;60;60;85;75;75;75;70;65;55;60;50;60;
Fernandinho;3;25;75;90;80;85;80;65;15;5;15;20;10;65;70;70;70;80;45;65;65;75;75;60;65;70;65;75;65;50;55;75;90;50;65;50;
Kevin DeBruyne;3;17;75;75;75;70;90;45;5;20;5;10;15;35;45;65;30;60;95;70;85;90;75;100;80;65;75;65;75;80;80;80;75;85;80;75;
Ederson;0;31;85;80;80;65;85;60;75;85;100;80;75;10;15;65;45;90;45;65;65;90;75;85;60;75;70;65;55;15;10;70;65;40;60;20;
Zack Steffen;0;13;55;60;50;60;50;60;75;60;65;80;80;15;10;75;15;55;15;50;55;50;10;55;10;60;60;70;5;5;10;45;60;30;15;15;
Kyle Walker;2;2;65;65;65;75;65;70;5;10;10;15;10;60;65;70;70;75;55;90;75;65;70;55;40;65;90;70;65;50;35;65;80;60;30;40;
Nathan Aké;2;6;70;65;75;70;75;75;15;5;15;15;15;70;75;70;75;65;50;75;70;65;25;65;50;70;80;70;60;30;40;70;80;30;10;10;
Benjamin Mendy;2;22;65;60;70;70;70;55;10;10;10;5;10;60;70;80;60;70;85;75;75;70;75;60;55;60;75;65;70;65;40;65;80;45;50;55;

Manchester United
Odion Ighalo;5;25;70;55;75;65;70;45;15;5;15;15;15;20;20;75;55;60;45;70;70;60;70;55;60;70;70;65;70;80;70;75;60;30;50;25;
Anthony Martial;5;9;75;65;65;75;80;25;15;5;15;5;5;10;20;65;55;60;40;85;80;65;80;50;60;70;85;80;80;85;75;80;70;35;75;25;
Bruno Fernandes;3;18;75;70;95;70;80;40;15;10;15;10;10;30;50;55;50;85;80;70;85;85;75;80;85;65;65;75;70;85;75;75;85;80;95;80;
Juan Mata;3;8;75;60;80;80;95;15;15;10;10;15;10;10;20;40;20;45;70;45;65;85;80;85;50;80;50;70;65;75;70;95;65;80;75;70;
Paul Pogba;3;6;80;45;60;70;95;45;15;15;10;15;10;30;45;85;65;45;60;80;90;90;70;85;70;75;60;70;80;90;70;90;55;75;75;40;
Fred;3;17;65;60;70;85;70;70;15;5;5;15;20;65;70;65;40;60;50;70;90;70;45;55;35;75;75;80;60;60;50;65;90;30;35;40;
Harry Maguire;1;5;75;65;75;70;65;80;10;15;5;5;10;70;80;85;85;85;40;60;80;65;45;60;35;80;50;45;65;60;40;65;75;20;25;20;
Axel Tuanzebe;1;38;70;60;80;65;65;75;5;10;10;5;10;70;65;70;60;70;15;80;70;65;30;40;5;75;70;70;60;35;25;65;65;10;45;10;
Victor Lindelöf;1;2;65;65;80;70;70;75;20;5;15;10;10;75;75;65;60;50;50;70;80;70;40;60;25;70;65;75;60;35;35;70;70;20;50;15;
Scott McTominay;3;39;55;65;90;95;65;70;5;15;10;5;5;60;80;70;70;80;60;70;90;65;60;45;50;80;65;65;45;30;50;70;95;25;35;30;
Phil Jones;1;4;50;50;80;70;65;80;10;15;10;15;10;75;85;80;80;95;45;65;85;65;30;25;5;70;60;45;40;20;30;65;80;15;40;25;
Donnyvande Beek;3;34;70;70;75;80;75;35;10;10;10;10;10;50;55;55;55;65;65;60;80;75;75;80;65;65;55;70;65;65;70;75;90;65;55;65;
Nemanja Matic;3;31;80;70;65;85;75;75;10;5;5;5;15;65;80;85;80;70;55;50;50;75;45;65;70;75;35;35;60;20;40;75;65;50;60;50;
Dean Henderson;0;26;65;70;80;65;55;60;70;65;70;75;75;15;10;60;25;65;5;55;60;65;65;40;5;65;70;75;10;65;5;60;65;30;20;10;
Mason Greenwood;4;11;70;50;85;60;75;15;10;15;15;5;15;10;15;60;35;50;40;85;60;60;65;45;70;60;80;70;65;80;80;70;70;70;50;25;
Jesse Lingard;4;14;50;60;80;80;70;50;5;20;5;15;15;20;30;40;25;65;55;75;85;65;90;50;60;60;75;75;65;65;60;70;85;25;50;40;
Marcus Rashford;4;10;65;60;80;65;75;15;5;15;10;10;15;10;15;65;40;70;40;85;75;70;75;60;60;65;90;80;75;90;70;70;80;65;80;35;
Eric Bailly;1;3;50;40;75;70;60;75;5;10;10;15;5;75;85;80;70;90;30;80;80;55;30;35;25;85;75;80;45;40;25;60;70;35;25;35;
Marcos Rojo;2;16;50;55;60;75;65;75;15;15;15;10;5;75;80;70;70;90;50;70;75;60;60;30;30;75;65;70;45;30;30;60;70;20;40;25;
Edinson Cavani;5;7;75;70;90;70;60;60;5;5;5;10;5;50;40;75;90;80;55;70;75;55;80;50;65;80;65;60;55;70;85;60;80;65;80;30;
Sergio Romero;0;22;60;60;50;60;45;70;60;60;80;75;80;5;35;85;25;75;15;70;50;40;5;60;10;55;55;75;5;40;15;45;40;45;15;20;
